id_record;tanggal;komoditas;kategori_komoditas;satuan;pasar;kecamatan;harga;volume_distribusi;ramadhan;idul_fitri;natal_tahun_baru;hujan;operasi_pasar;gangguan_distribusi;banjir;nama_kearifan;jenis_kearifan;kearifan_score;faktor_utama;target_harga_next_day
63;2025-05-13;Minyak Goreng;Pangan Olahan;liter;Pasar Inpres;Lubuklinggau Barat I;17200;438,8;0;0;0;0;0;0;0;Distribusi Berbasis Keluarga;Sosial;0,64;Normal;17300
64;2025-05-13;Beras;Pangan Pokok;kg;Pasar Moneng Sepati;Lubuklinggau Selatan II;12900;499;0;0;0;0;0;0;0;Distribusi Berbasis Keluarga;Sosial;0,58;Normal;13000
65;2025-05-13;Cabai Merah;Hortikultura;kg;Pasar Simpang Periuk;Lubuklinggau Selatan I;38000;183,3;0;0;0;0;0;0;0;Tawar-Menawar Tradisional;Budaya;0,5;Normal;38500
66;2025-05-14;Daging Ayam;Protein Hewani;kg;Pasar Inpres;Lubuklinggau Barat I;36000;299,8;0;0;0;0;0;0;0;Sistem Langganan Pemasok;Sosial Ekonomi;0,62;Normal;36500
67;2025-05-14;Minyak Goreng;Pangan Olahan;liter;Pasar Inpres;Lubuklinggau Barat I;17300;493,8;0;0;0;0;0;0;0;Pasar Subuh;Distribusi;0,74;Normal;17500
68;2025-05-14;Beras;Pangan Pokok;kg;Pasar Moneng Sepati;Lubuklinggau Selatan II;12900;550;0;0;0;0;0;0;0;Pasar Subuh;Distribusi;0,68;Normal;13000
69;2025-05-14;Cabai Merah;Hortikultura;kg;Pasar Simpang Periuk;Lubuklinggau Selatan I;38500;179,3;0;0;0;0;0;0;0;Pasokan Harian Tanpa Gudang;Distribusi;0,7;Normal;39000
70;2025-05-14;Bawang Merah;Hortikultura;kg;Pasar Bukit Sulap;Lubuklinggau Timur I;33500;196,8;0;0;0;0;0;0;0;Harga Musiman Hari Besar;Perilaku Pasar;0,75;Normal;34000
71;2025-05-15;Minyak Goreng;Pangan Olahan;liter;Pasar Inpres;Lubuklinggau Barat I;17200;476,5;0;0;0;0;0;0;0;Harga Musiman Hari Besar;Perilaku Pasar;0,82;Normal;17300
72;2025-05-15;Beras;Pangan Pokok;kg;Pasar Moneng Sepati;Lubuklinggau Selatan II;12800;527,1;0;0;0;0;0;0;0;Harga Musiman Hari Besar;Perilaku Pasar;0,76;Normal;12900
73;2025-05-15;Cabai Merah;Hortikultura;kg;Pasar Simpang Periuk;Lubuklinggau Selatan I;38500;134,4;0;0;0;1;0;1;0;Sistem Langganan Pemasok;Sosial Ekonomi;0,71;"Hujan; Gangguan Distribusi";38500
74;2025-05-15;Bawang Merah;Hortikultura;kg;Pasar Bukit Sulap;Lubuklinggau Timur I;33500;215,3;0;0;0;0;0;0;0;Distribusi Berbasis Keluarga;Sosial;0,62;Normal;34000
75;2025-05-15;Daging Ayam;Protein Hewani;kg;Pasar Inpres;Lubuklinggau Barat I;37000;260,1;0;0;0;0;0;0;0;Distribusi Berbasis Keluarga;Sosial;0,61;Normal;37000
76;2025-05-16;Beras;Pangan Pokok;kg;Pasar Moneng Sepati;Lubuklinggau Selatan II;12900;515,6;0;0;0;0;0;0;0;Distribusi Berbasis Keluarga;Sosial;0,61;Normal;13100
77;2025-05-16;Cabai Merah;Hortikultura;kg;Pasar Simpang Periuk;Lubuklinggau Selatan I;38000;171;0;0;0;0;0;0;0;Tawar-Menawar Tradisional;Budaya;0,55;Normal;38500
78;2025-05-16;Bawang Merah;Hortikultura;kg;Pasar Bukit Sulap;Lubuklinggau Timur I;33500;227;0;0;0;0;0;0;0;Pasar Subuh;Distribusi;0,75;Normal;34000
79;2025-05-16;Daging Ayam;Protein Hewani;kg;Pasar Inpres;Lubuklinggau Barat I;37000;287,5;0;0;0;0;0;0;0;Pasar Subuh;Distribusi;0,67;Normal;37000
80;2025-05-16;Minyak Goreng;Pangan Olahan;liter;Pasar Moneng Sepati;Lubuklinggau Selatan II;17600;395,7;0;0;0;0;0;0;0;Pasar Subuh;Distribusi;0,7;Normal;17800
81;2025-05-17;Cabai Merah;Hortikultura;kg;Pasar Simpang Periuk;Lubuklinggau Selatan I;38500;229;0;0;0;0;0;0;0;Pasokan Harian Tanpa Gudang;Distribusi;0,74;Normal;38500
82;2025-05-17;Bawang Merah;Hortikultura;kg;Pasar Bukit Sulap;Lubuklinggau Timur I;33500;205,3;0;0;0;1;0;0;0;Harga Musiman Hari Besar;Perilaku Pasar;0,85;Hujan;33500
83;2025-05-17;Daging Ayam;Protein Hewani;kg;Pasar Inpres;Lubuklinggau Barat I;36500;250,2;0;0;0;0;0;0;0;Harga Musiman Hari Besar;Perilaku Pasar;0,84;Normal;37000
84;2025-05-17;Minyak Goreng;Pangan Olahan;liter;Pasar Moneng Sepati;Lubuklinggau Selatan II;18000;412,9;0;0;0;0;0;0;0;Harga Musiman Hari Besar;Perilaku Pasar;0,81;Normal;18200
85;2025-05-17;Beras;Pangan Pokok;kg;Pasar Simpang Periuk;Lubuklinggau Selatan I;12800;502,4;0;0;0;0;0;0;0;Sistem Langganan Pemasok;Sosial Ekonomi;0,65;Normal;12900
86;2025-05-18;Bawang Merah;Hortikultura;kg;Pasar Bukit Sulap;Lubuklinggau Timur I;34000;185,2;0;0;0;1;0;1;0;Distribusi Berbasis Keluarga;Sosial;0,62;"Hujan; Gangguan Distribusi";34000
87;2025-05-18;Daging Ayam;Protein Hewani;kg;Pasar Inpres;Lubuklinggau Barat I;36500;292,4;0;0;0;0;0;0;0;Distribusi Berbasis Keluarga;Sosial;0,64;Normal;37000
88;2025-05-18;Minyak Goreng;Pangan Olahan;liter;Pasar Moneng Sepati;Lubuklinggau Selatan II;17600;470,7;0;0;0;0;0;0;0;Distribusi Berbasis Keluarga;Sosial;0,56;Normal;17800
89;2025-05-18;Beras;Pangan Pokok;kg;Pasar Simpang Periuk;Lubuklinggau Selatan I;12900;480,3;0;0;0;0;0;0;0;Tawar-Menawar Tradisional;Budaya;0,5;Normal;13000
90;2025-05-18;Cabai Merah;Hortikultura;kg;Pasar Simpang Periuk;Lubuklinggau Selatan I;38000;205,7;0;0;0;0;0;0;0;Harga Musiman Hari Besar;Perilaku Pasar;0,76;Normal;38000
91;2025-05-19;Daging Ayam;Protein Hewani;kg;Pasar Inpres;Lubuklinggau Barat I;36000;249,9;0;0;0;1;0;0;0;Pasar Subuh;Distribusi;0,78;Hujan;36500
92;2025-05-19;Minyak Goreng;Pangan Olahan;liter;Pasar Moneng Sepati;Lubuklinggau Selatan II;17600;406,2;0;0;0;0;0;0;0;Pasar Subuh;Distribusi;0,73;Normal;17700
93;2025-05-19;Beras;Pangan Pokok;kg;Pasar Simpang Periuk;Lubuklinggau Selatan I;12500;530;0;0;0;0;0;0;0;Pasokan Harian Tanpa Gudang;Distribusi;0,74;Normal;12600
94;2025-05-19;Cabai Merah;Hortikultura;kg;Pasar Simpang Periuk;Lubuklinggau Selatan I;38000;192,2;0;0;0;0;0;0;0;Distribusi Berbasis Keluarga;Sosial;0,6;Normal;38500
95;2025-05-19;Bawang Merah;Hortikultura;kg;Pasar Bukit Sulap;Lubuklinggau Timur I;33500;214,1;0;0;0;0;0;0;0;Sistem Langganan Pemasok;Sosial Ekonomi;0,64;Normal;33500
96;2025-05-20;Minyak Goreng;Pangan Olahan;liter;Pasar Moneng Sepati;Lubuklinggau Selatan II;17200;403,6;0;0;0;0;0;0;0;Harga Musiman Hari Besar;Perilaku Pasar;0,82;Normal;17400
97;2025-05-20;Beras;Pangan Pokok;kg;Pasar Simpang Periuk;Lubuklinggau Selatan I;12600;522,2;0;0;0;0;0;0;0;Sistem Langganan Pemasok;Sosial Ekonomi;0,65;Normal;12800
98;2025-05-20;Cabai Merah;Hortikultura;kg;Pasar Simpang Periuk;Lubuklinggau Selatan I;38500;198,8;0;0;0;0;0;0;0;Pasar Subuh;Distribusi;0,77;Normal;38500
99;2025-05-20;Bawang Merah;Hortikultura;kg;Pasar Bukit Sulap;Lubuklinggau Timur I;33500;234;0;0;0;0;0;0;0;Tawar-Menawar Tradisional;Budaya;0,5;Normal;34000
100;2025-05-20;Daging Ayam;Protein Hewani;kg;Pasar Inpres;Lubuklinggau Barat I;36500;237,1;0;0;0;0;0;0;0;Tawar-Menawar Tradisional;Budaya;0,56;Normal;37000
101;2025-05-21;Beras;Pangan Pokok;kg;Pasar Simpang Periuk;Lubuklinggau Selatan I;12200;538,2;0;0;0;0;0;0;0;Tawar-Menawar Tradisional;Budaya;0,5;Normal;12400
102;2025-05-21;Cabai Merah;Hortikultura;kg;Pasar Simpang Periuk;Lubuklinggau Selatan I;37500;206,2;0;0;0;0;0;0;0;Harga Musiman Hari Besar;Perilaku Pasar;0,86;Normal;38000
103;2025-05-21;Bawang Merah;Hortikultura;kg;Pasar Bukit Sulap;Lubuklinggau Timur I;33500;215,2;0;0;0;0;0;0;0;Pasokan Harian Tanpa Gudang;Distribusi;0,77;Normal;34000
104;2025-05-21;Daging Ayam;Protein Hewani;kg;Pasar Inpres;Lubuklinggau Barat I;36500;311,9;0;0;0;0;0;0;0;Pasokan Harian Tanpa Gudang;Distribusi;0,81;Normal;37000
105;2025-05-21;Minyak Goreng;Pangan Olahan;liter;Pasar Moneng Sepati;Lubuklinggau Selatan II;17600;438,8;0;0;0;1;0;0;0;Pasokan Harian Tanpa Gudang;Distribusi;0,77;Hujan;17700
106;2025-05-22;Cabai Merah;Hortikultura;kg;Pasar Simpang Periuk;Lubuklinggau Selatan I;38000;193,8;0;0;0;0;0;0;0;Distribusi Berbasis Keluarga;Sosial;0,6;Normal;39000
107;2025-05-22;Bawang Merah;Hortikultura;kg;Pasar Bukit Sulap;Lubuklinggau Timur I;33500;215,5;0;0;0;0;0;0;0;Sistem Langganan Pemasok;Sosial Ekonomi;0,69;Normal;34000
108;2025-05-22;Daging Ayam;Protein Hewani;kg;Pasar Inpres;Lubuklinggau Barat I;36000;233,2;0;0;0;0;0;0;0;Sistem Langganan Pemasok;Sosial Ekonomi;0,65;Normal;36500
109;2025-05-22;Minyak Goreng;Pangan Olahan;liter;Pasar Moneng Sepati;Lubuklinggau Selatan II;17700;429;0;0;0;0;0;0;0;Sistem Langganan Pemasok;Sosial Ekonomi;0,66;Normal;17900
110;2025-05-22;Beras;Pangan Pokok;kg;Pasar Simpang Periuk;Lubuklinggau Selatan I;12600;481,1;0;0;0;0;0;0;0;Pasar Subuh;Distribusi;0,78;Normal;12800
111;2025-05-23;Bawang Merah;Hortikultura;kg;Pasar Bukit Sulap;Lubuklinggau Timur I;33500;201,5;0;0;0;0;0;0;0;Tawar-Menawar Tradisional;Budaya;0,53;Normal;34000
112;2025-05-23;Daging Ayam;Protein Hewani;kg;Pasar Inpres;Lubuklinggau Barat I;36500;266,5;0;0;0;0;0;0;0;Tawar-Menawar Tradisional;Budaya;0,55;Normal;37000
113;2025-05-23;Minyak Goreng;Pangan Olahan;liter;Pasar Moneng Sepati;Lubuklinggau Selatan II;17800;270,4;0;0;0;1;0;1;0;Tawar-Menawar Tradisional;Budaya;0,5;"Hujan; Gangguan Distribusi";18000
114;2025-05-23;Beras;Pangan Pokok;kg;Pasar Simpang Periuk;Lubuklinggau Selatan I;12600;491,1;0;0;0;0;0;0;0;Harga Musiman Hari Besar;Perilaku Pasar;0,83;Normal;12700
115;2025-05-23;Cabai Merah;Hortikultura;kg;Pasar Bukit Sulap;Lubuklinggau Timur I;40500;159,2;0;0;0;0;0;0;0;Pasokan Harian Tanpa Gudang;Distribusi;0,78;Normal;41500
116;2025-05-24;Daging Ayam;Protein Hewani;kg;Pasar Inpres;Lubuklinggau Barat I;36000;259,3;0;0;0;0;0;0;0;Pasokan Harian Tanpa Gudang;Distribusi;0,78;Normal;36500
117;2025-05-24;Minyak Goreng;Pangan Olahan;liter;Pasar Moneng Sepati;Lubuklinggau Selatan II;17400;454,7;0;0;0;0;0;0;0;Pasokan Harian Tanpa Gudang;Distribusi;0,73;Normal;17600
118;2025-05-24;Beras;Pangan Pokok;kg;Pasar Simpang Periuk;Lubuklinggau Selatan I;12400;514,2;0;0;0;0;0;0;0;Distribusi Berbasis Keluarga;Sosial;0,65;Normal;12500
119;2025-05-24;Cabai Merah;Hortikultura;kg;Pasar Bukit Sulap;Lubuklinggau Timur I;40500;189,6;0;0;0;0;0;0;0;Sistem Langganan Pemasok;Sosial Ekonomi;0,67;Normal;40500
120;2025-05-24;Bawang Merah;Hortikultura;kg;Pasar Inpres;Lubuklinggau Barat I;34000;245,7;0;0;0;1;0;0;0;Sistem Langganan Pemasok;Sosial Ekonomi;0,64;Hujan;34500
121;2025-05-25;Minyak Goreng;Pangan Olahan;liter;Pasar Moneng Sepati;Lubuklinggau Selatan II;17200;399,6;0;0;0;0;0;0;0;Sistem Langganan Pemasok;Sosial Ekonomi;0,59;Normal;17400
122;2025-05-25;Beras;Pangan Pokok;kg;Pasar Simpang Periuk;Lubuklinggau Selatan I;12500;473,2;0;0;0;0;0;0;0;Pasar Subuh;Distribusi;0,76;Normal;12600
123;2025-05-25;Cabai Merah;Hortikultura;kg;Pasar Bukit Sulap;Lubuklinggau Timur I;40500;191,9;0;0;0;0;0;0;0;Tawar-Menawar Tradisional;Budaya;0,52;Normal;41000
124;2025-05-25;Bawang Merah;Hortikultura;kg;Pasar Inpres;Lubuklinggau Barat I;33000;220,9;0;0;0;0;0;0;0;Tawar-Menawar Tradisional;Budaya;0,52;Normal;33000
125;2025-05-25;Daging Ayam;Protein Hewani;kg;Pasar Inpres;Lubuklinggau Barat I;36000;254,4;0;0;0;0;0;0;0;Harga Musiman Hari Besar;Perilaku Pasar;0,86;Normal;36000
126;2025-05-26;Beras;Pangan Pokok;kg;Pasar Simpang Periuk;Lubuklinggau Selatan I;12300;561,2;0;0;0;1;0;0;0;Harga Musiman Hari Besar;Perilaku Pasar;0,85;Hujan;12400
127;2025-05-26;Cabai Merah;Hortikultura;kg;Pasar Bukit Sulap;Lubuklinggau Timur I;40500;192,6;0;0;0;0;0;0;0;Pasokan Harian Tanpa Gudang;Distribusi;0,7;Normal;41000
128;2025-05-26;Bawang Merah;Hortikultura;kg;Pasar Inpres;Lubuklinggau Barat I;33500;197,4;0;0;0;0;0;0;0;Pasokan Harian Tanpa Gudang;Distribusi;0,75;Normal;34000
